n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
71,1.1247749328613281,-0.642929,-0.0663231,0.00694727,-2.24189,-0.857928,1.0796,0,0,0,0,0,0,13018,0
72,1.1407594680786133,-0.642921,-0.0663263,0.00691588,-2.24192,-0.857986,1.0795,0,0,0,0,0,0,13021,0
73,1.1566874980926514,-0.642946,-0.0663357,0.00698477,-2.24189,-0.857856,1.0797,0,0,0,0,0,0,13018,0
74,1.1726455688476562,-0.642933,-0.0663308,0.00696837,-2.24194,-0.857816,1.0797,0,0,0,0,0,0,13016,0
75,1.188603162765503,-0.64291,-0.0663057,0.00693862,-2.24189,-0.857944,1.079,0,0,0,0,0,0,13018,0
76,1.2045612335205078,-0.642946,-0.0662995,0.00694637,-2.24188,-0.857917,1.0796,0,0,0,0,0,0,13010,0
77,1.2205467224121094,-0.642935,-0.0663258,0.00696578,-2.24192,-0.857909,1.0796,0,0,0,0,0,0,13020,0
78,1.2369709014892578,-0.642928,-0.0663016,0.00695623,-2.24189,-0.857888,1.0796,0,0,0,0,0,0,13022,0
79,1.2529637813568115,-0.642937,-0.0663076,0.00695321,-2.24189,-0.85787,1.0796,0,0,0,0,0,0,13019,0
80,1.2687690258026123,-0.642912,-0.0663424,0.00692755,-2.24193,-0.858006,1.0796,0,0,0,0,0,0,13017,0
81,1.2849366664886475,-0.642942,-0.0663244,0.00701158,-2.24184,-0.857874,1.0797,0,0,0,0,0,0,13017,0
82,1.3009371757507324,-0.642942,-0.0663244,0.00701158,-2.24184,-0.857874,1.0797,0,0,0,0,0,0,13009,0
83,1.3167378902435303,-0.642923,-0.0663403,0.00694922,-2.24189,-0.858001,1.0796,0,0,0,0,0,0,13022,0
84,1.3326945304870605,-0.642947,-0.0663302,0.00697367,-2.2419,-0.857903,1.0797,0,0,0,0,0,0,13012,0
85,1.3486506938934326,-0.642926,-0.066332,0.00693874,-2.24189,-0.857937,1.0796,0,0,0,0,0,0,13022,0
86,1.364607810974121,-0.642928,-0.0663116,0.00693922,-2.24193,-0.857909,1.079,0,0,0,0,0,0,13021,0
87,1.3805651664733887,-0.642929,-0.0663254,0.00693137,-2.2419,-0.857969,1.0796,0,0,0,0,0,0,13017,0
88,1.3965482711791992,-0.642908,-0.0663124,0.00691414,-2.24196,-0.857923,1.0795,0,0,0,0,0,0,13018,0
89,1.4124839305877686,-0.642933,-0.066348,0.00696949,-2.24185,-0.857952,1.0797,0,0,0,0,0,0,13020,0
90,1.4284472465515137,-0.642908,-0.0662775,0.00692912,-2.2419,-0.857897,1.0795,0,0,0,0,0,0,13016,0
91,1.4443957805633545,-0.64292,-0.0663267,0.00696307,-2.24188,-0.857902,1.0796,0,0,0,0,0,0,13021,0
92,1.460353136062622,-0.642952,-0.0663233,0.00697847,-2.24189,-0.85786,1.079,0,0,0,0,0,0,13020,0
93,1.4763438701629639,-0.642965,-0.0663401,0.00700449,-2.24183,-0.857894,1.0798,0,0,0,0,0,0,13017,0
94,1.4922668933868408,-0.642935,-0.066327,0.00694467,-2.24193,-0.857883,1.0796,0,0,0,0,0,0,13022,0
95,1.508253812789917,-0.64295,-0.06632,0.00700399,-2.24187,-0.857846,1.0797,0,0,0,0,0,0,13015,0
96,1.5241835117340088,-0.642951,-0.0663258,0.00698503,-2.24188,-0.857858,1.0797,0,0,0,0,0,0,13018,0
97,1.5401687622070312,-0.642897,-0.0663172,0.00691912,-2.24189,-0.858012,1.0795,0,0,0,0,0,0,13017,0
98,1.5561258792877197,-0.642939,-0.0663167,0.00696743,-2.24188,-0.857845,1.0796,0,0,0,0,0,0,13014,0
99,1.5720546245574951,-0.642939,-0.0663167,0.00696743,-2.24188,-0.857845,1.0796,0,0,0,0,0,0,13018,0
100,1.5880107879638672,-0.642946,-0.0663518,0.00696619,-2.24186,-0.857977,1.0797,0,0,0,0,0,0,13021,0
101,1.6039974689483643,-0.642932,-0.06632,0.00695853,-2.2419,-0.857877,1.0796,0,0,0,0,0,0,13018,0
102,1.620678186416626,-0.642926,-0.0663188,0.00696433,-2.24189,-0.857959,1.0796,0,0,0,0,0,0,13020,0
103,1.6366519927978516,-0.642924,-0.0663273,0.00696117,-2.24186,-0.857961,1.0796,0,0,0,0,0,0,13015,0
104,1.6526517868041992,-0.642932,-0.0663053,0.006949,-2.24193,-0.857836,1.0796,0,0,0,0,0,0,13013,0
105,1.6685271263122559,-0.642942,-0.0663013,0.00697617,-2.24185,-0.857909,1.0796,0,0,0,0,0,0,13020,0
106,1.6845343112945557,-0.642952,-0.0663575,0.00697919,-2.2419,-0.857934,1.0797,0,0,0,0,0,0,13016,0
107,1.700510025024414,-0.642933,-0.0663087,0.00693215,-2.24191,-0.857924,1.0795,0,0,0,0,0,0,13018,0
108,1.7159526348114014,-0.642935,-0.0663371,0.00696381,-2.24189,-0.857946,1.0796,0,0,0,0,0,0,13019,0
109,1.731926679611206,-0.642909,-0.0662947,0.00695613,-2.24189,-0.857895,1.0796,0,0,0,0,0,0,13020,0
110,1.7478787899017334,-0.64297,-0.0663406,0.00701396,-2.24187,-0.857799,1.0798,0,0,0,0,0,0,13018,0
111,1.7639145851135254,-0.642937,-0.0663224,0.0069648,-2.24187,-0.857924,1.0796,0,0,0,0,0,0,13018,0
112,1.7805142402648926,-0.642948,-0.0663327,0.00696643,-2.24186,-0.857904,1.0796,0,0,0,0,0,0,13010,0
113,1.796191692352295,-0.642992,-0.0662949,0.00687298,-2.24193,-0.858088,1.0794,0,0,0,0,0,0,13022,0
114,1.8124840259552002,-0.643475,-0.0663523,0.00690635,-2.24187,-0.858262,1.0794,0,0,0,0,0,0,12991,0
115,1.8277204036712646,-0.646574,-0.0665846,0.00736184,-2.24127,-0.857684,1.0809,0,0,0,0,0,0,12644,0
116,1.8444290161132812,-0.649374,-0.0666816,0.00751589,-2.2412,-0.857391,1.0813,0,0,0,0,0,0,12401,0
117,1.8604276180267334,-0.650605,-0.0663621,0.00710782,-2.24148,-0.857383,1.0801,0,0,0,0,0,0,12459,0
118,1.8764278888702393,-0.651124,-0.0664485,0.00693318,-2.2416,-0.857952,1.0797,0,0,0,0,0,0,12454,0
119,1.892395257949829,-0.651074,-0.0664443,0.00696737,-2.24162,-0.857871,1.0798,0,0,0,0,0,0,12454,0
120,1.9084863662719727,-0.650971,-0.0664612,0.00696025,-2.24162,-0.857969,1.0799,0,0,0,0,0,0,12445,0
121,1.9244804382324219,-0.651043,-0.0664544,0.00694875,-2.24159,-0.857897,1.0797,0,0,0,0,0,0,12447,0
122,1.940450668334961,-0.651032,-0.0664982,0.00693076,-2.24171,-0.858024,1.0798,0,0,0,0,0,0,12454,0
123,1.9564447402954102,-0.651044,-0.0664618,0.00700053,-2.24158,-0.857947,1.0799,0,0,0,0,0,0,12440,0
124,1.9722156524658203,-0.651045,-0.066504,0.00700515,-2.2416,-0.857982,1.0799,0,0,0,0,0,0,12449,0
125,1.9880146980285645,-0.65098,-0.0664716,0.00688717,-2.24171,-0.858167,1.0796,0,0,0,0,0,0,12442,0
126,2.0044074058532715,-0.65098,-0.0664716,0.00688717,-2.24171,-0.858167,1.0796,0,0,0,0,0,0,12441,0
127,2.020367383956909,-0.651016,-0.0664687,0.00695822,-2.24172,-0.858058,1.079,0,0,0,0,0,0,12442,0
128,2.0363576412200928,-0.650978,-0.0664817,0.00684374,-2.24185,-0.858257,1.0796,0,0,0,0,0,0,12440,0
129,2.052311897277832,-0.650968,-0.0664283,0.00684112,-2.24186,-0.858193,1.0794,0,0,0,0,0,0,12435,0
130,2.068239450454712,-0.651007,-0.0664258,0.00691763,-2.24183,-0.858056,1.0797,0,0,0,0,0,0,12437,0
