n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
99,1.5824878215789795,-0.646067,-0.0662688,0.00691387,-2.24194,-0.857958,1.0795,0,0,0,0,0,0,12995,0
100,1.5984456539154053,-0.646059,-0.0662091,0.00690877,-2.24193,-0.857836,1.0794,0,0,0,0,0,0,12991,0
101,1.6144025325775146,-0.646107,-0.0662425,0.00696918,-2.24194,-0.857748,1.0796,0,0,0,0,0,0,12989,0
102,1.6303596496582031,-0.646071,-0.066258,0.00690374,-2.24193,-0.857919,1.0795,0,0,0,0,0,0,12991,0
103,1.6463167667388916,-0.646071,-0.066258,0.00690374,-2.24193,-0.857919,1.0795,0,0,0,0,0,0,12989,0
104,1.6622745990753174,-0.646083,-0.0662576,0.0069071,-2.24198,-0.857875,1.0795,0,0,0,0,0,0,12991,0
105,1.678234338760376,-0.646108,-0.0662737,0.00695529,-2.24188,-0.857909,1.0796,0,0,0,0,0,0,12990,0
106,1.6941883563995361,-0.646091,-0.0662696,0.0069106,-2.24195,-0.857857,1.0795,0,0,0,0,0,0,12990,0
107,1.7101449966430664,-0.646077,-0.0662642,0.00692761,-2.24195,-0.857891,1.0795,0,0,0,0,0,0,12992,0
108,1.7270996570587158,-0.646089,-0.0662521,0.00691638,-2.24192,-0.857887,1.0795,0,0,0,0,0,0,12991,0
109,1.7430591583251953,-0.646055,-0.0662049,0.0069166,-2.24194,-0.857814,1.0794,0,0,0,0,0,0,12989,0
110,1.7580182552337646,-0.646061,-0.0662524,0.00690396,-2.24198,-0.857911,1.0795,0,0,0,0,0,0,12992,0
111,1.7739758491516113,-0.646058,-0.0662331,0.00689626,-2.24194,-0.857892,1.0794,0,0,0,0,0,0,12990,0
112,1.7909290790557861,-0.646068,-0.0662517,0.0068956,-2.24194,-0.85788,1.0794,0,0,0,0,0,0,12991,0
113,1.8068866729736328,-0.646136,-0.0662277,0.00695506,-2.24193,-0.857832,1.0795,0,0,0,0,0,0,12991,0
114,1.8228435516357422,-0.647248,-0.0663439,0.00730207,-2.24179,-0.857802,1.0802,0,0,0,0,0,0,12847,0
115,1.838801383972168,-0.648621,-0.0663721,0.0075829,-2.24153,-0.857352,1.0809,0,0,0,0,0,0,12694,0
116,1.854759693145752,-0.650316,-0.0662879,0.00756124,-2.24155,-0.857195,1.0807,0,0,0,0,0,0,12676,0
117,1.870715856552124,-0.652358,-0.0661316,0.00729945,-2.24166,-0.85727,1.0797,0,0,0,0,0,0,12685,0
118,1.8866734504699707,-0.653581,-0.0660385,0.00718266,-2.24171,-0.857245,1.0793,0,0,0,0,0,0,12685,0
119,1.902630090713501,-0.657986,-0.065856,0.00696868,-2.24176,-0.857134,1.0785,0,0,0,0,0,0,12684,0
120,1.918588399887085,-0.660394,-0.0656201,0.00670343,-2.24187,-0.85721,1.0777,0,0,0,0,0,0,12687,0
121,1.934544563293457,-0.662268,-0.0654838,0.00642808,-2.24203,-0.857599,1.0768,0,0,0,0,0,0,12680,0
122,1.9505019187927246,-0.663851,-0.0654208,0.00642667,-2.24198,-0.857605,1.0768,0,0,0,0,0,0,12678,0
123,1.9664602279663086,-0.664457,-0.0653558,0.00641842,-2.24194,-0.857527,1.0767,0,0,0,0,0,0,12675,0
124,1.9824166297912598,-0.665679,-0.0652844,0.0064279,-2.24188,-0.857551,1.0767,0,0,0,0,0,0,12675,0
125,1.9983742237091064,-0.665927,-0.0652927,0.00643724,-2.24182,-0.857594,1.0767,0,0,0,0,0,0,12671,0
126,2.014331340789795,-0.665797,-0.0652241,0.0063625,-2.24182,-0.857422,1.0766,0,0,0,0,0,0,12669,0
127,2.0303173065185547,-0.665822,-0.0652604,0.00637116,-2.24187,-0.857494,1.0766,0,0,0,0,0,0,12672,0
128,2.0462772846221924,-0.665868,-0.0652758,0.00643754,-2.24181,-0.85743,1.0768,0,0,0,0,0,0,12672,0
129,2.0622317790985107,-0.665837,-0.0652875,0.006402,-2.24179,-0.857582,1.076,0,0,0,0,0,0,12663,0
130,2.0781893730163574,-0.66586,-0.0652786,0.00644643,-2.24177,-0.857435,1.0768,0,0,0,0,0,0,12667,0
131,2.093790054321289,-0.665848,-0.065267,0.00639619,-2.24183,-0.85752,1.076,0,0,0,0,0,0,12667,0
132,2.1102006435394287,-0.66586,-0.0652628,0.00640885,-2.24181,-0.857465,1.0768,0,0,0,0,0,0,12664,0
133,2.1257176399230957,-0.665863,-0.065259,0.00645995,-2.24176,-0.857437,1.076,0,0,0,0,0,0,12669,0
134,2.142380475997925,-0.665834,-0.0652486,0.00640831,-2.24181,-0.857468,1.0767,0,0,0,0,0,0,12667,0
135,2.1584577560424805,-0.665844,-0.0652739,0.00642547,-2.24179,-0.857575,1.0768,0,0,0,0,0,0,12666,0
136,2.1744346618652344,-0.665867,-0.0652579,0.00642479,-2.2418,-0.857413,1.0768,0,0,0,0,0,0,12667,0
137,2.1905364990234375,-0.665851,-0.0652541,0.00643414,-2.24177,-0.857461,1.0768,0,0,0,0,0,0,12669,0
138,2.2064805030822754,-0.665838,-0.0652547,0.00641297,-2.24182,-0.857425,1.0767,0,0,0,0,0,0,12666,0
139,2.222565174102783,-0.665841,-0.0652808,0.00641269,-2.24178,-0.857589,1.0768,0,0,0,0,0,0,12670,0
140,2.2385666370391846,-0.665853,-0.0652553,0.00641946,-2.24179,-0.85752,1.076,0,0,0,0,0,0,12666,0
141,2.2545340061187744,-0.665804,-0.0652706,0.00635189,-2.24185,-0.857609,1.0766,0,0,0,0,0,0,12666,0
142,2.2705140113830566,-0.665796,-0.0652508,0.00638324,-2.24182,-0.857615,1.0767,0,0,0,0,0,0,12664,0
143,2.2865078449249268,-0.665831,-0.0652475,0.0063909,-2.24182,-0.85752,1.0767,0,0,0,0,0,0,12667,0
144,2.3024911880493164,-0.665812,-0.065219,0.00635603,-2.24187,-0.857472,1.0766,0,0,0,0,0,0,12666,0
145,2.318415641784668,-0.665773,-0.065254,0.00632605,-2.24186,-0.857648,1.0765,0,0,0,0,0,0,12667,0
146,2.3343892097473145,-0.665775,-0.0652628,0.00632449,-2.24183,-0.85771,1.076,0,0,0,0,0,0,12670,0
147,2.3503901958465576,-0.665827,-0.0652738,0.00642145,-2.24175,-0.85753,1.076,0,0,0,0,0,0,12665,0
148,2.3663687705993652,-0.665775,-0.0652497,0.00639095,-2.24185,-0.857518,1.0768,0,0,0,0,0,0,12666,0
149,2.3824360370635986,-0.665798,-0.0652483,0.00635899,-2.24176,-0.857599,1.0767,0,0,0,0,0,0,12667,0
150,2.3984107971191406,-0.665783,-0.0652304,0.00636936,-2.24186,-0.857476,1.0767,0,0,0,0,0,0,12661,0
151,2.4143900871276855,-0.665805,-0.0652462,0.0063691,-2.24177,-0.857594,1.0767,0,0,0,0,0,0,12668,0
152,2.4303958415985107,-0.665819,-0.0652781,0.0063878,-2.24179,-0.857596,1.0768,0,0,0,0,0,0,12667,0
153,2.4463658332824707,-0.665788,-0.0652737,0.0063532,-2.24182,-0.857626,1.0767,0,0,0,0,0,0,12667,0
154,2.4623680114746094,-0.665773,-0.0652412,0.00631618,-2.24183,-0.857639,1.0766,0,0,0,0,0,0,12666,0
155,2.478362798690796,-0.665789,-0.0652658,0.00637657,-2.24177,-0.857606,1.0767,0,0,0,0,0,0,12669,0
156,2.4943301677703857,-0.665759,-0.0652388,0.00635222,-2.24184,-0.857539,1.0767,0,0,0,0,0,0,12667,0
157,2.5102150440216064,-0.665803,-0.0652588,0.00636058,-2.24183,-0.857562,1.0767,0,0,0,0,0,0,12667,0
158,2.5257043838500977,-0.665819,-0.0652904,0.00639507,-2.24179,-0.857601,1.0769,0,0,0,0,0,0,12669,0
159,2.5422773361206055,-0.665815,-0.0652567,0.00639326,-2.24185,-0.857432,1.0768,0,0,0,0,0,0,12668,0
160,2.5582387447357178,-0.665797,-0.0652618,0.00638052,-2.24185,-0.857488,1.0768,0,0,0,0,0,0,12668,0
161,2.5741963386535645,-0.665775,-0.065239,0.00634344,-2.24188,-0.857553,1.0767,0,0,0,0,0,0,12666,0
162,2.590156316757202,-0.66579,-0.0652714,0.00635025,-2.24184,-0.857572,1.076,0,0,0,0,0,0,12665,0
163,2.6061112880706787,-0.665802,-0.0652369,0.0063785,-2.2418,-0.857535,1.0767,0,0,0,0,0,0,12665,0
164,2.6220703125,-0.665838,-0.0652757,0.00643505,-2.24176,-0.857497,1.0769,0,0,0,0,0,0,12666,0
165,2.6380257606506348,-0.665759,-0.0652398,0.00633723,-2.24186,-0.857545,1.0767,0,0,0,0,0,0,12667,0
166,2.653984308242798,-0.66579,-0.0652611,0.00635309,-2.24183,-0.857641,1.0767,0,0,0,0,0,0,12667,0
167,2.6699399948120117,-0.665779,-0.0652637,0.00636617,-2.24183,-0.85759,1.0768,0,0,0,0,0,0,12667,0
168,2.685896873474121,-0.665816,-0.0652426,0.00640192,-2.24178,-0.857504,1.0768,0,0,0,0,0,0,12666,0
169,2.701857805252075,-0.665795,-0.0652305,0.00636543,-2.24183,-0.857512,1.0767,0,0,0,0,0,0,12665,0
170,2.7180850505828857,-0.6658,-0.0652559,0.00637718,-2.24183,-0.857555,1.0768,0,0,0,0,0,0,12671,0
171,2.733973741531372,-0.665751,-0.0652368,0.00631272,-2.24186,-0.857636,1.0766,0,0,0,0,0,0,12666,0
172,2.750054359436035,-0.665804,-0.0652635,0.00639207,-2.24179,-0.857581,1.0768,0,0,0,0,0,0,12667,0
173,2.766054153442383,-0.665795,-0.0652487,0.00638438,-2.24179,-0.85751,1.0768,0,0,0,0,0,0,12667,0
174,2.7817893028259277,-0.665793,-0.0652446,0.00634847,-2.24185,-0.857531,1.0767,0,0,0,0,0,0,12668,0
175,2.798039197921753,-0.665793,-0.0652712,0.00639087,-2.24179,-0.857553,1.0768,0,0,0,0,0,0,12669,0
176,2.814021110534668,-0.665781,-0.0652659,0.00636345,-2.24188,-0.857558,1.0768,0,0,0,0,0,0,12663,0
177,2.8300113677978516,-0.665764,-0.0652657,0.00634229,-2.24185,-0.857601,1.0767,0,0,0,0,0,0,12669,0
178,2.8452553749084473,-0.66579,-0.0652457,0.00635274,-2.24184,-0.857547,1.0767,0,0,0,0,0,0,12668,0
179,2.8611791133880615,-0.665806,-0.0652328,0.00637288,-2.24179,-0.85753,1.0768,0,0,0,0,0,0,12669,0
180,2.878037214279175,-0.665787,-0.0652572,0.00637716,-2.24177,-0.8576,1.0768,0,0,0,0,0,0,12666,0
181,2.894023895263672,-0.665792,-0.0652717,0.00637804,-2.24185,-0.85758,1.0768,0,0,0,0,0,0,12667,0
182,2.909862995147705,-0.665805,-0.0652736,0.00637762,-2.24177,-0.857556,1.0768,0,0,0,0,0,0,12667,0
183,2.9255943298339844,-0.665789,-0.0652464,0.00638463,-2.2418,-0.85755,1.0768,0,0,0,0,0,0,12667,0
184,2.942042827606201,-0.665784,-0.0652654,0.00636454,-2.2418,-0.857628,1.0767,0,0,0,0,0,0,12665,0
185,2.95793080329895,-0.66582,-0.0652729,0.00639162,-2.24179,-0.857576,1.0768,0,0,0,0,0,0,12666,0
186,2.973973274230957,-0.665812,-0.065237,0.00638714,-2.24177,-0.857512,1.0768,0,0,0,0,0,0,12667,0
187,2.989842653274536,-0.665805,-0.0652754,0.00637835,-2.24183,-0.857599,1.0768,0,0,0,0,0,0,12667,0
188,3.005821943283081,-0.665772,-0.0652604,0.00633853,-2.24181,-0.857653,1.0767,0,0,0,0,0,0,12666,0
189,3.021446466445923,-0.665771,-0.0652244,0.00633553,-2.2418,-0.857631,1.0766,0,0,0,0,0,0,12667,0
190,3.0374464988708496,-0.665793,-0.0652547,0.00636084,-2.24182,-0.857589,1.0768,0,0,0,0,0,0,12657,0
191,3.0538580417633057,-0.665797,-0.065237,0.00638075,-2.24185,-0.857472,1.0768,0,0,0,0,0,0,12667,0
192,3.069859743118286,-0.665793,-0.065235,0.00637724,-2.24179,-0.85757,1.0767,0,0,0,0,0,0,12668,0
193,3.0857365131378174,-0.66578,-0.0652741,0.00636042,-2.24182,-0.857645,1.0768,0,0,0,0,0,0,12667,0
