n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
64,1.0151290893554688,-0.665771,-0.0652407,0.00639286,-2.24186,-0.857458,1.076,0,0,0,0,0,0,12462,0
65,1.0310842990875244,-0.665787,-0.0652703,0.00639975,-2.24186,-0.857473,1.0768,0,0,0,0,0,0,12462,0
66,1.0470433235168457,-0.665761,-0.0652501,0.0063417,-2.24191,-0.857488,1.0767,0,0,0,0,0,0,12451,0
67,1.063000202178955,-0.665745,-0.0652441,0.00635288,-2.24186,-0.857533,1.0766,0,0,0,0,0,0,12450,0
68,1.0789566040039062,-0.665745,-0.0652441,0.00635288,-2.24186,-0.857533,1.0766,0,0,0,0,0,0,12454,0
69,1.0949146747589111,-0.665783,-0.06527,0.00638239,-2.24189,-0.857494,1.0768,0,0,0,0,0,0,12453,0
70,1.1108715534210205,-0.665781,-0.0652806,0.00637163,-2.24189,-0.857512,1.0768,0,0,0,0,0,0,12450,0
71,1.126828908920288,-0.665759,-0.0652613,0.00635457,-2.24188,-0.857526,1.0767,0,0,0,0,0,0,12465,0
72,1.1427850723266602,-0.665766,-0.0652822,0.00638325,-2.24188,-0.857506,1.0768,0,0,0,0,0,0,12452,0
73,1.1587436199188232,-0.665776,-0.0652814,0.00640385,-2.24183,-0.857455,1.0768,0,0,0,0,0,0,12453,0
74,1.1746997833251953,-0.665783,-0.0653016,0.00636571,-2.2419,-0.85753,1.0768,0,0,0,0,0,0,12459,0
75,1.1906909942626953,-0.665771,-0.065262,0.00636842,-2.24192,-0.85745,1.0767,0,0,0,0,0,0,12462,0
76,1.2066476345062256,-0.665778,-0.0652929,0.00639209,-2.24186,-0.857479,1.0768,0,0,0,0,0,0,12463,0
77,1.2225725650787354,-0.66577,-0.0652766,0.00635793,-2.2419,-0.857504,1.0767,0,0,0,0,0,0,12450,0
78,1.2385308742523193,-0.665761,-0.0652489,0.00637417,-2.24188,-0.857461,1.0767,0,0,0,0,0,0,12452,0
79,1.2544879913330078,-0.665754,-0.0652425,0.00635619,-2.24188,-0.857457,1.0767,0,0,0,0,0,0,12464,0
80,1.270444631576538,-0.665741,-0.0652424,0.00634361,-2.24193,-0.857514,1.0766,0,0,0,0,0,0,12452,0
81,1.2864022254943848,-0.665741,-0.0652424,0.00634361,-2.24193,-0.857514,1.0766,0,0,0,0,0,0,12451,0
82,1.302358865737915,-0.665788,-0.0652761,0.00639846,-2.24185,-0.857486,1.0768,0,0,0,0,0,0,12451,0
83,1.3183178901672363,-0.665802,-0.0652787,0.00639419,-2.24184,-0.85747,1.0768,0,0,0,0,0,0,12454,0
84,1.3342740535736084,-0.665756,-0.0652518,0.00635168,-2.24188,-0.857512,1.0767,0,0,0,0,0,0,12452,0
85,1.350231409072876,-0.665789,-0.0652742,0.00639316,-2.24189,-0.857445,1.0768,0,0,0,0,0,0,12460,0
86,1.3671858310699463,-0.665789,-0.0652742,0.00639316,-2.24189,-0.857445,1.0768,0,0,0,0,0,0,12449,0
87,1.3821468353271484,-0.665771,-0.0653005,0.00638292,-2.2419,-0.857509,1.0768,0,0,0,0,0,0,12461,0
88,1.3981034755706787,-0.665755,-0.0652491,0.00634114,-2.24187,-0.857567,1.0766,0,0,0,0,0,0,12458,0
89,1.4150574207305908,-0.665782,-0.0652773,0.00638681,-2.24186,-0.857469,1.0768,0,0,0,0,0,0,12451,0
90,1.430018424987793,-0.665758,-0.0652654,0.00633912,-2.24191,-0.857523,1.0767,0,0,0,0,0,0,12452,0
91,1.4469726085662842,-0.665764,-0.0652948,0.00638288,-2.24184,-0.857618,1.0768,0,0,0,0,0,0,12451,0
92,1.4629294872283936,-0.665772,-0.0652447,0.00635901,-2.24189,-0.857446,1.0767,0,0,0,0,0,0,12452,0
93,1.4787688255310059,-0.665813,-0.0652706,0.0064082,-2.24188,-0.857374,1.076,0,0,0,0,0,0,12463,0
94,1.4949655532836914,-0.665759,-0.0652734,0.00635733,-2.24187,-0.857589,1.0766,0,0,0,0,0,0,12459,0
95,1.5104451179504395,-0.665779,-0.0652794,0.00636586,-2.24189,-0.85751,1.0767,0,0,0,0,0,0,12450,0
96,1.5262510776519775,-0.665769,-0.0652455,0.00634992,-2.24188,-0.857453,1.0767,0,0,0,0,0,0,12459,0
97,1.5427138805389404,-0.665762,-0.0652937,0.00638061,-2.2419,-0.857505,1.0768,0,0,0,0,0,0,12459,0
98,1.5587599277496338,-0.665758,-0.0652598,0.00637351,-2.24189,-0.857466,1.0767,0,0,0,0,0,0,12459,0
99,1.5748674869537354,-0.665772,-0.0652737,0.00635344,-2.2419,-0.857494,1.0767,0,0,0,0,0,0,12457,0
100,1.590636968612671,-0.665772,-0.0652631,0.00638602,-2.24189,-0.857506,1.0768,0,0,0,0,0,0,12452,0
101,1.606837511062622,-0.665778,-0.0652711,0.00635331,-2.2419,-0.857483,1.0767,0,0,0,0,0,0,12457,0
102,1.6221072673797607,-0.665768,-0.0652588,0.00637582,-2.2419,-0.857456,1.0767,0,0,0,0,0,0,12460,0
