n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
64,1.020270586013794,-0.665792,-0.0652423,0.00641312,-2.24183,-0.857453,1.0768,0,0,0,0,0,0,12600,0
65,1.0362296104431152,-0.665761,-0.0652233,0.00636936,-2.24185,-0.857443,1.0767,0,0,0,0,0,0,12597,0
66,1.0521862506866455,-0.6658,-0.0652502,0.00642332,-2.24181,-0.85739,1.0768,0,0,0,0,0,0,12593,0
67,1.0681431293487549,-0.665806,-0.0652151,0.00642673,-2.2418,-0.857362,1.0768,0,0,0,0,0,0,12595,0
68,1.0841009616851807,-0.665778,-0.065205,0.00638753,-2.24188,-0.857401,1.0767,0,0,0,0,0,0,12595,0
69,1.1000580787658691,-0.665795,-0.0651948,0.00639974,-2.24186,-0.857292,1.0767,0,0,0,0,0,0,12598,0
70,1.1160163879394531,-0.66576,-0.0652209,0.00635463,-2.24191,-0.857454,1.0766,0,0,0,0,0,0,12607,0
71,1.1319732666015625,-0.66579,-0.0652077,0.00640936,-2.24183,-0.85734,1.0767,0,0,0,0,0,0,12599,0
72,1.14793062210083,-0.665786,-0.0652168,0.00637995,-2.24188,-0.857429,1.0767,0,0,0,0,0,0,12595,0
73,1.1638891696929932,-0.665791,-0.0652531,0.00640002,-2.24181,-0.857488,1.0767,0,0,0,0,0,0,12593,0
74,1.179844617843628,-0.66578,-0.0652498,0.00638888,-2.24186,-0.85745,1.0768,0,0,0,0,0,0,12592,0
75,1.1958022117614746,-0.665788,-0.0652338,0.00642365,-2.24181,-0.857406,1.0768,0,0,0,0,0,0,12596,0
76,1.2117595672607422,-0.665801,-0.0652556,0.00640865,-2.24184,-0.857462,1.0768,0,0,0,0,0,0,12595,0
77,1.2277178764343262,-0.665777,-0.0652073,0.00638199,-2.24185,-0.857409,1.0767,0,0,0,0,0,0,12596,0
78,1.24367356300354,-0.665798,-0.06526,0.0064204,-2.24181,-0.857467,1.0768,0,0,0,0,0,0,12600,0
79,1.2596313953399658,-0.665779,-0.065223,0.00639049,-2.24185,-0.857404,1.0767,0,0,0,0,0,0,12599,0
80,1.2755887508392334,-0.665793,-0.0652494,0.00638806,-2.24185,-0.857418,1.076,0,0,0,0,0,0,12597,0
81,1.2915453910827637,-0.665805,-0.0652288,0.00639406,-2.24181,-0.857394,1.0767,0,0,0,0,0,0,12596,0
82,1.3075041770935059,-0.665788,-0.0652524,0.00637294,-2.24189,-0.857462,1.0767,0,0,0,0,0,0,12594,0
83,1.323460578918457,-0.665774,-0.0652286,0.00636492,-2.24186,-0.85749,1.0767,0,0,0,0,0,0,12593,0
84,1.3394191265106201,-0.665787,-0.0652443,0.00641898,-2.24188,-0.857398,1.0768,0,0,0,0,0,0,12591,0
85,1.3553757667541504,-0.665804,-0.0652349,0.00642994,-2.24187,-0.85735,1.076,0,0,0,0,0,0,12592,0
86,1.3713324069976807,-0.665789,-0.0652675,0.00639291,-2.24185,-0.857484,1.0768,0,0,0,0,0,0,12599,0
87,1.3872902393341064,-0.665792,-0.0652805,0.00641517,-2.24184,-0.857463,1.0768,0,0,0,0,0,0,12599,0
88,1.403247356414795,-0.665781,-0.0652364,0.00640124,-2.24185,-0.857471,1.0768,0,0,0,0,0,0,12598,0
89,1.4192044734954834,-0.665785,-0.0652155,0.00639957,-2.24189,-0.857403,1.076,0,0,0,0,0,0,12594,0
90,1.4351615905761719,-0.665802,-0.0652205,0.00642804,-2.24181,-0.857388,1.0768,0,0,0,0,0,0,12595,0
